lead_id,name,email,company,industry,lead_source,lead_score,engagement_score,page_views,email_opens,time_on_site_minutes,converted,conversion_probability,days_in_pipeline,last_activity_date
LEAD-00109,John Powers,caitlinsantos@myers-mclaughlin.com,King-Glenn,E-commerce,organic_search,43.6,28.7,41,17,41.1,False,0.459,42,2026-02-03
LEAD-00110,Allen Snyder,millermarie@bailey-nixon.net,Smith Group,Media,paid_search,38.8,37.3,14,10,22.1,False,0.375,38,2026-03-12
LEAD-00111,Cassidy Campbell,michael61@garrett.com,Patterson-Anderson,Manufacturing,demo_request,27.0,27.9,31,20,7.1,False,0.382,68,2026-02-03
LEAD-00112,Caitlin Carey,kevinlin@harris-sampson.org,Rodriguez and Sons,Education,organic_search,60.1,56.4,2,9,4.3,True,0.617,8,2026-03-10
LEAD-00113,Nichole Dean,jamesmckay@buck-ramirez.com,"Byrd, Garcia and Mcdaniel",Media,content_download,43.7,49.2,49,9,26.3,False,0.496,15,2026-01-30
LEAD-00114,Kevin Adams,hailey69@boone.com,Lambert and Sons,Retail,referral,25.8,15.5,1,16,30.4,False,0.329,55,2026-02-28
LEAD-00115,Rebecca Brown,robertpaul@fernandez.com,Horn Ltd,E-commerce,organic_search,37.3,60.9,22,20,16.8,False,0.422,49,2026-02-11
LEAD-00116,Nancy Sanders,stephenperez@ho-montgomery.org,Stewart Group,Retail,organic_search,21.4,34.9,15,20,13.2,False,0.233,36,2026-03-09
LEAD-00117,Nicole Graham,khernandez@liu-donaldson.net,Bradshaw-Francis,Media,content_download,44.9,52.2,42,11,2.5,False,0.355,6,2026-03-04
LEAD-00118,Amy Norman,tinabennett@lopez-thomas.com,"Hernandez, Nguyen and Hill",Education,social,20.4,5.8,36,9,2.0,False,0.14,83,2026-01-30
LEAD-00119,Wendy Mcintyre,bmendez@gonzales.com,"Atkins, Jimenez and Davis",Fintech,paid_search,13.9,1.8,41,15,1.5,False,0.0,74,2026-03-19
LEAD-00120,Makayla Roberts,fischertina@smith.net,Gay-Ponce,SaaS,content_download,48.2,74.0,25,9,27.5,False,0.416,40,2026-02-18
LEAD-00121,Nicole Tyler,stephanieavila@jordan-perez.com,"Klein, Smith and Ferguson",Healthcare,social,28.7,9.2,28,20,16.0,False,0.383,90,2026-03-15
LEAD-00122,Janet Cunningham,thomashanson@mitchell.org,Reid LLC,SaaS,content_download,12.7,35.7,15,20,18.0,False,0.233,72,2026-03-20
LEAD-00123,Amy Harrison,tracymoreno@moore.biz,Richardson-Cuevas,Healthcare,referral,45.5,71.7,19,15,6.7,False,0.448,22,2026-01-26
LEAD-00124,Patricia Flores,princedavid@gardner.com,Olson-Leach,Education,social,13.3,13.9,21,16,41.3,False,0.055,13,2026-03-16
LEAD-00125,Kimberly White,andrew28@mason.info,Cooper and Sons,Media,organic_search,0.6,9.2,34,7,11.0,False,0.0,9,2026-02-12
LEAD-00126,Michael Hayden,charles50@lopez.com,Miller-Owen,Education,demo_request,48.8,13.7,42,5,12.1,False,0.612,83,2026-03-20
LEAD-00127,Megan Baird,alexander51@lucero.com,"Reid, Miller and Johnson",Retail,referral,7.6,23.3,45,7,30.4,False,0.087,5,2026-02-03
LEAD-00128,Ashley Johnson,vasquezcrystal@madden.com,Rivera PLC,SaaS,content_download,18.6,27.4,3,8,16.4,False,0.0,76,2026-03-25
LEAD-00129,Christy Pham,thomasgraves@mueller.net,"Barry, Silva and West",SaaS,social,32.9,31.6,45,17,39.1,False,0.318,70,2026-03-16
LEAD-00130,Logan Williams,emilythompson@morrison.com,Gutierrez-Jenkins,Retail,referral,5.3,9.1,41,5,38.0,False,0.0,14,2026-01-30
LEAD-00131,Charles Gallegos,harrisjamie@gilbert-taylor.com,"Hinton, Jones and Walker",Education,organic_search,5.6,21.6,44,18,17.3,False,0.078,57,2026-03-08
LEAD-00132,Dustin Lopez,jared65@steele.com,"Costa, Proctor and Ramirez",SaaS,webinar,33.3,37.3,38,16,42.6,False,0.341,27,2026-03-07
LEAD-00133,Autumn Johnson,victoria46@hall.net,Williamson-Riley,E-commerce,referral,42.0,28.2,1,18,22.8,False,0.565,15,2026-03-06
LEAD-00134,Cynthia Nunez,andersonalan@cochran.com,Holt PLC,Retail,referral,59.0,73.8,35,17,5.1,False,0.52,3,2026-02-18
LEAD-00135,Kelly Smith,markbishop@hopkins.com,Sanchez-Conley,Healthcare,demo_request,57.4,39.4,41,17,13.6,False,0.621,78,2026-03-09
LEAD-00136,Jessica Turner,caindenise@williams-martin.com,Gross-Obrien,E-commerce,content_download,22.9,37.0,12,17,4.8,False,0.12,7,2026-03-08
LEAD-00137,Jonathan Kelly,dlee@hampton.com,Elliott Inc,Education,social,71.6,100.0,17,13,17.6,True,0.807,20,2026-02-04
LEAD-00138,Wendy Weaver,steven07@garcia-schwartz.biz,Garcia PLC,Manufacturing,referral,28.1,31.4,15,3,7.4,False,0.144,45,2026-03-16
LEAD-00139,Sherri Douglas,zfranco@rose-galloway.com,"Banks, Jones and Henderson",Healthcare,referral,30.2,38.5,7,4,20.1,False,0.376,76,2026-03-22
LEAD-00140,Adam Hampton,gcastaneda@odonnell.info,"Williams, Acosta and Martin",Media,referral,19.5,22.1,12,5,35.5,False,0.321,75,2026-02-11
LEAD-00141,Deborah Morris,hendersonkimberly@cole.com,"Carr, Hartman and Holder",Manufacturing,referral,57.7,55.4,48,20,26.5,False,0.628,40,2026-03-09
LEAD-00142,Caleb Grant,josephhardy@payne.com,Odonnell-Andersen,Media,social,43.8,36.4,24,1,25.2,False,0.536,81,2026-03-20
LEAD-00143,Terry Yates,phyllis83@scott.net,Hardin-Ellis,Media,organic_search,34.4,37.1,30,7,29.5,False,0.376,12,2026-02-08
LEAD-00144,Clayton Robinson,hendersonroberto@perry.org,"Alvarez, Sutton and Walker",Manufacturing,demo_request,21.1,0.4,32,3,42.0,False,0.115,5,2026-01-28
LEAD-00145,Misty Smith,seanthompson@parsons.info,Martinez Ltd,Education,paid_search,39.7,56.3,25,2,12.3,False,0.373,33,2026-03-18
LEAD-00146,Allison Kaiser,cookstephanie@fernandez-fields.com,"Gross, Gonzalez and Miller",Media,organic_search,3.8,0.0,27,10,2.1,False,0.0,34,2026-02-11
LEAD-00147,Barbara Woods,paul24@wheeler-hill.com,Gonzalez Inc,Education,demo_request,27.7,17.5,7,11,8.7,False,0.054,34,2026-03-15
LEAD-00148,Caitlin Perez,bellmichelle@ortiz-taylor.net,Bryan-Dorsey,Education,social,32.1,25.4,44,16,33.4,False,0.206,19,2026-03-09
LEAD-00149,Michelle Morales,gallaghermartin@phillips-waller.com,Greene Ltd,Retail,content_download,23.3,31.4,39,9,32.9,False,0.0,48,2026-03-14
LEAD-00150,Emily Simmons,lesliecooper@hernandez-cook.biz,Gibson-Bishop,Education,organic_search,11.2,7.5,43,18,36.0,False,0.079,15,2026-03-22
LEAD-00151,Wendy Martin,rkennedy@hamilton.com,Hays-Green,Healthcare,content_download,23.6,33.2,30,17,2.5,False,0.237,77,2026-02-17
LEAD-00152,Jessica Glass,angelalambert@robinson.com,"Estrada, Obrien and Myers",Media,demo_request,27.6,33.4,28,4,1.4,False,0.295,25,2026-02-10
LEAD-00153,Stanley Henderson,alopez@bird-brown.com,Watson-Adams,Healthcare,referral,33.2,44.7,16,19,18.0,False,0.401,42,2026-03-20
LEAD-00154,Thomas Gonzalez,mccarthymarissa@martin.com,Holland Inc,Fintech,social,38.3,54.5,12,15,30.3,False,0.325,1,2026-01-31
LEAD-00155,Brittany Patterson,melissa09@jones-jacobs.com,"Meadows, Miller and Williams",Media,social,14.1,16.5,43,3,14.3,False,0.055,34,2026-02-05
LEAD-00156,Henry Wade,kyle43@brown.net,Dickerson-Anderson,Education,organic_search,17.4,22.3,11,13,31.4,False,0.22,25,2026-03-14
LEAD-00157,Shannon Curtis,lindasmith@edwards.net,"Hunter, Orozco and Parks",Manufacturing,paid_search,18.9,8.8,19,4,15.0,False,0.236,44,2026-02-14
LEAD-00158,Raymond Gonzalez,jenkinsrandy@hudson-rodriguez.info,Burton Ltd,Retail,organic_search,30.0,25.7,36,6,6.9,False,0.196,56,2026-03-06
LEAD-00159,Ana Wilson,qdavis@smith-thomas.com,Russell and Sons,Fintech,demo_request,27.4,20.0,6,6,24.2,False,0.261,16,2026-02-09
LEAD-00160,Wendy Odonnell,john94@gutierrez.com,Boone and Sons,Manufacturing,social,32.8,2.6,5,0,26.1,False,0.516,46,2026-02-22
LEAD-00161,Mr. Samuel Miller DVM,moorenathaniel@wiley.net,"Griffith, Cooper and Greene",Education,paid_search,35.8,22.4,41,11,34.9,False,0.314,62,2026-03-21
LEAD-00162,Eugene Frederick Jr.,jennifer55@rivers.com,Williams Inc,Manufacturing,organic_search,29.5,15.6,24,12,40.7,False,0.315,65,2026-03-05
LEAD-00163,Denise Hall,courtneydavies@moyer.com,Perez Ltd,SaaS,webinar,38.1,38.1,18,20,39.5,False,0.448,23,2026-02-09
LEAD-00164,Ellen Shelton,ffry@schneider.com,Hahn-Anderson,Media,paid_search,62.1,45.3,31,2,7.2,False,0.59,25,2026-03-05
LEAD-00165,Susan Castillo,dorisphillips@pope.com,Johnson PLC,Healthcare,social,16.0,18.5,3,5,29.7,False,0.274,28,2026-03-09
LEAD-00166,Dorothy Thompson,bethwright@fields-anderson.com,"Martinez, Kelly and Bailey",Media,webinar,38.0,19.1,7,7,7.2,False,0.496,61,2026-03-25
LEAD-00167,Raymond Ponce,justinvargas@peterson.info,"Berry, Davis and Wang",Fintech,referral,30.7,49.1,16,7,7.4,False,0.441,53,2026-03-18
LEAD-00168,Crystal Gregory,patricia51@hernandez.com,Brown-Booth,Fintech,referral,31.5,41.3,29,13,20.0,False,0.335,56,2026-01-28
LEAD-00169,Alicia Castaneda,charlesgross@murphy.info,"Brady, Rios and Adams",Manufacturing,webinar,50.7,87.3,33,3,26.3,False,0.412,38,2026-02-26
LEAD-00170,Natalie Clark,moorefrank@garcia.com,Stanton PLC,Retail,webinar,14.3,1.6,29,20,31.9,False,0.341,38,2026-02-02
LEAD-00171,Dennis Simpson,katrinareid@williams-brown.com,Johnson-Watson,Fintech,webinar,59.9,30.5,19,8,27.5,False,0.514,25,2026-01-27
LEAD-00172,Tara Cruz,jacobsullivan@reeves-russo.com,Simmons Group,E-commerce,paid_search,44.7,30.4,27,15,15.9,False,0.424,64,2026-02-09
LEAD-00173,Randy Obrien,scotttravis@palmer-lutz.com,Munoz-Holmes,Fintech,demo_request,27.9,20.7,47,12,18.7,False,0.425,34,2026-03-15
LEAD-00174,Carla Waller,christinehowell@price.net,Cox-Adams,SaaS,content_download,48.7,53.8,22,7,18.5,False,0.527,55,2026-03-23
