customer_id,name,email,signup_date,country,segment_id,segment_name,rfm_recency,rfm_frequency,rfm_monetary,total_touchpoints,avg_sentiment,churn_probability,lifetime_value
CUST-00027,Brenda White,ewright@example.com,2025-07-28,JP,1,Loyal Customers,14,4,612.1,23,0.331,0.169,2080.16
CUST-00028,Matthew Fernandez,novaksara@example.org,2023-12-10,US,1,Loyal Customers,52,11,585.63,38,0.758,0.195,7751.88
CUST-00029,John Hancock,martinaaron@example.com,2024-05-11,US,1,Loyal Customers,40,10,542.74,29,0.29,0.095,5687.96
CUST-00030,Rachel Mitchell,smoore@example.org,2023-06-25,AU,2,At Risk,66,8,1032.16,5,-0.017,0.528,8933.01
CUST-00031,Kimberly Adkins,williamsthomas@example.net,2023-11-26,ID,1,Loyal Customers,16,7,544.86,10,0.38,0.105,4177.56
CUST-00032,Jordan York,larsonemma@example.org,2024-12-13,JP,1,Loyal Customers,25,5,997.64,37,0.223,0.024,4332.43
CUST-00033,Steve Sanchez,harveyrobert@example.net,2025-08-21,BR,3,Hibernating,258,1,291.32,17,-0.097,0.828,266.97
CUST-00034,Taylor Harris,john62@example.net,2025-12-23,US,2,At Risk,87,6,1368.3,2,-0.118,0.53,12230.27
CUST-00035,Eugene Walton,smithchristine@example.net,2023-08-29,AU,1,Loyal Customers,60,11,713.45,48,0.59,0.068,11746.78
CUST-00036,Daniel Baker,nicole35@example.com,2023-11-27,US,3,Hibernating,303,2,63.34,5,-0.21,0.843,152.7
CUST-00037,Joshua Turner,contrerasangela@example.net,2023-09-03,ID,2,At Risk,100,3,217.69,35,-0.109,0.575,594.43
CUST-00038,Brandy Wilson,newtoneric@example.com,2025-10-21,US,4,New Customers,3,1,62.21,17,-0.355,0.266,67.35
CUST-00039,Grant Watts,william40@example.org,2025-12-06,US,4,New Customers,19,1,302.09,7,0.322,0.176,330.32
CUST-00040,Donald Smith,danagreen@example.net,2025-02-10,US,3,Hibernating,253,2,281.72,47,-0.277,0.561,574.67
CUST-00041,Jessica Smith,landryhannah@example.org,2025-07-21,BR,1,Loyal Customers,18,8,1023.0,6,0.445,0.149,6600.57
CUST-00042,Jacob Tran,tanderson@example.com,2023-05-27,US,3,Hibernating,264,1,40.51,18,0.069,0.679,36.16
CUST-00043,Christine Wright,gomezanita@example.com,2025-11-15,US,1,Loyal Customers,14,7,865.15,36,0.298,0.08,7827.31
CUST-00044,Tammy Young,theresacochran@example.com,2023-05-04,AU,3,Hibernating,326,3,168.1,37,-0.071,0.746,509.12
CUST-00045,Tim Patton,vpham@example.org,2024-05-14,JP,3,Hibernating,360,1,94.05,49,-0.432,0.761,111.66
CUST-00046,Michael Reyes,garrisonjeffrey@example.com,2024-09-20,US,1,Loyal Customers,48,7,1491.7,42,0.524,0.197,14587.74
CUST-00047,Robert Perez,kellerraymond@example.com,2023-07-12,UK,2,At Risk,92,3,274.6,19,-0.276,0.424,684.46
CUST-00048,Diana May,ifrazier@example.com,2023-05-08,UK,1,Loyal Customers,18,8,490.85,47,0.402,0.003,4317.05
CUST-00049,Wesley White,benjamin96@example.com,2024-07-26,ID,0,Champions,3,19,4567.68,25,0.774,0.071,104816.28
CUST-00050,William Wilson,jonathanfletcher@example.org,2025-06-11,JP,1,Loyal Customers,18,4,754.87,4,0.501,0.101,4315.58
CUST-00051,Kimberly Ball,michaeljones@example.net,2024-08-20,SG,1,Loyal Customers,25,5,836.62,28,0.146,0.086,6198.04
CUST-00052,Mary Martinez,william65@example.com,2024-06-28,BR,3,Hibernating,356,1,262.09,13,-0.386,0.656,371.38
CUST-00053,Cheryl Ortega,lbyrd@example.net,2025-08-27,UK,0,Champions,24,13,4020.74,44,0.66,0.082,73430.7
CUST-00054,Joshua Smith,jason99@example.net,2024-08-08,US,3,Hibernating,188,1,240.46,4,0.172,0.734,336.89
CUST-00055,Jeremy Lewis,yleon@example.net,2023-12-15,DE,1,Loyal Customers,39,9,749.34,16,0.564,0.114,6447.63
CUST-00056,Diane Beck,clarence34@example.org,2024-01-30,US,3,Hibernating,222,2,98.01,19,-0.78,0.718,205.0
CUST-00057,Angel Riggs,gibsonolivia@example.net,2024-01-23,US,2,At Risk,146,7,597.05,18,-0.085,0.647,3865.89
CUST-00058,Janet Ross,dianasmith@example.org,2025-01-15,UK,4,New Customers,9,1,80.95,48,0.252,0.224,109.32
CUST-00059,Robert Dominguez,pwilliams@example.org,2025-03-05,SG,2,At Risk,125,3,670.01,18,-0.109,0.357,1670.48
CUST-00060,John Schmidt,stephanie79@example.net,2025-05-19,BR,2,At Risk,126,7,1077.26,49,0.186,0.51,9572.62
CUST-00061,Terry Griffin,juliawells@example.com,2024-04-14,SG,2,At Risk,68,8,1393.04,44,0.098,0.377,15530.84
CUST-00062,Destiny Strickland,rsims@example.com,2023-07-25,UK,3,Hibernating,196,3,106.6,27,0.051,0.608,411.92
CUST-00063,Cynthia Rogers,taylorjesse@example.net,2023-11-19,UK,3,Hibernating,169,2,206.18,49,-0.153,0.895,590.48
CUST-00064,Amy Russell,nperry@example.com,2024-11-21,US,3,Hibernating,197,2,173.42,20,-0.548,0.675,328.5
CUST-00065,Lauren Dominguez,wwoods@example.com,2024-11-21,UK,3,Hibernating,275,3,110.23,45,-0.275,0.68,314.02
CUST-00066,Tiffany Barnes,tracynelson@example.com,2023-05-11,ID,2,At Risk,81,8,264.47,42,-0.488,0.455,2609.75
CUST-00067,Michael Yates,marycalhoun@example.net,2025-07-03,US,0,Champions,25,11,3527.58,14,0.434,0.088,35045.19
CUST-00068,James Elliott,millerroy@example.com,2024-01-03,US,0,Champions,16,17,4323.82,28,0.47,0.174,104398.76
CUST-00069,James Lewis,matthew64@example.com,2024-04-21,UK,3,Hibernating,303,3,127.51,11,-0.496,0.694,481.7
CUST-00070,Julie Curry,cookemichael@example.net,2023-07-11,DE,0,Champions,25,20,4484.59,16,0.903,0.0,82796.36
CUST-00071,Marissa Webster,jamessmith@example.org,2024-03-31,US,4,New Customers,17,2,53.6,9,0.357,0.305,120.01
CUST-00072,Michael Elliott,stevenscott@example.com,2023-12-12,SG,3,Hibernating,290,3,296.61,50,-0.702,0.735,1267.12
CUST-00073,Tracey Higgins,tamirodriguez@example.org,2024-07-23,JP,3,Hibernating,304,3,139.49,30,-0.235,0.783,597.59
CUST-00074,Susan Brooks,charlesvaughn@example.net,2024-04-07,US,3,Hibernating,241,2,92.57,42,-0.609,0.614,184.05
CUST-00075,Raymond Jefferson,hoganashlee@example.org,2024-09-16,UK,3,Hibernating,244,3,86.99,47,-0.17,0.744,260.97
CUST-00076,Mary Jones,alexander67@example.org,2025-01-28,US,1,Loyal Customers,30,12,345.04,26,0.563,0.148,5323.68
CUST-00077,Madison Poole,ryangross@example.net,2024-05-19,ID,3,Hibernating,136,2,134.13,28,-0.47,0.739,226.3
CUST-00078,Tamara Hampton,ugraham@example.net,2024-05-16,US,3,Hibernating,219,3,284.9,50,-0.227,0.663,1028.19
CUST-00079,David Michael,nicole37@example.net,2025-10-30,JP,2,At Risk,105,5,1167.19,28,0.366,0.488,6867.48
CUST-00080,Gabrielle Snyder,hunter35@example.com,2024-09-05,ID,3,Hibernating,324,3,271.39,19,-0.598,0.773,899.73
CUST-00081,Kyle Beard,blackjames@example.org,2024-12-17,UK,0,Champions,11,18,3556.14,12,0.456,0.113,88869.26
CUST-00082,Peter Vaughn DDS,bwest@example.org,2024-06-26,SG,4,New Customers,20,1,456.26,44,0.59,0.134,373.66
CUST-00083,Michael Torres,thomas85@example.com,2025-07-28,US,3,Hibernating,154,2,70.88,22,-0.059,0.753,134.41
CUST-00084,Michael Nelson,jerry35@example.org,2025-07-06,BR,1,Loyal Customers,58,10,700.86,28,0.706,0.272,6844.53
CUST-00085,Melissa Lee,lhill@example.net,2025-10-09,BR,0,Champions,1,19,2927.39,24,0.639,0.0,53226.26
CUST-00086,Brian Lee,michaelturner@example.net,2025-07-03,BR,0,Champions,21,8,3894.05,14,0.478,0.0,43222.71
CUST-00087,Angel Brown,heidi27@example.org,2023-04-15,US,3,Hibernating,181,1,152.6,15,-0.319,0.747,171.75
CUST-00088,Julie Alexander,tammyking@example.com,2023-09-20,BR,1,Loyal Customers,33,6,1290.61,47,0.569,0.186,6815.76
CUST-00089,Jennifer Jones,hernandezlisa@example.com,2023-08-06,BR,3,Hibernating,199,1,182.03,38,-0.297,0.836,231.93
CUST-00090,Bailey Duran DDS,kimberlyjames@example.com,2024-06-30,AU,4,New Customers,13,1,65.72,42,0.234,0.418,63.75
CUST-00091,Wanda Torres,lynchjody@example.org,2025-11-22,US,3,Hibernating,197,3,188.12,38,-0.144,0.651,760.67
CUST-00092,Matthew Moore,andreamoore@example.com,2025-02-23,AU,1,Loyal Customers,37,9,324.12,2,0.232,0.159,4068.46
CUST-00093,Julie Johnson,jasmine71@example.net,2024-03-23,AU,3,Hibernating,147,2,289.02,31,-0.356,0.777,748.63
CUST-00094,Rachel Weber,ronaldstephens@example.net,2023-11-13,DE,2,At Risk,126,8,514.61,36,0.018,0.444,5525.88
CUST-00095,Samantha Jones,lauralarson@example.net,2024-06-17,US,2,At Risk,135,5,585.11,7,-0.312,0.329,2911.65
CUST-00096,John Torres,gbender@example.net,2025-05-02,UK,2,At Risk,119,7,973.95,3,-0.212,0.519,7813.13
CUST-00097,Kyle Preston,cassandra01@example.org,2026-02-06,US,1,Loyal Customers,41,7,838.68,19,0.554,0.02,8314.31
CUST-00098,Laura Sampson,barbara27@example.net,2026-01-02,BR,3,Hibernating,190,3,22.84,7,-0.257,0.751,66.39
CUST-00099,Donald Shea,fwalters@example.org,2025-03-26,AU,2,At Risk,131,4,1082.32,33,-0.321,0.462,4821.62
CUST-00100,Gary Santiago,marksteele@example.com,2026-01-19,US,0,Champions,10,11,2319.81,44,0.715,0.0,30802.39
CUST-00101,Robin Pierce,qmiller@example.com,2023-09-23,DE,2,At Risk,127,5,724.43,23,-0.011,0.495,3789.74
CUST-00102,Jennifer Robertson,sandovalamy@example.com,2023-06-19,DE,2,At Risk,99,5,461.23,22,0.171,0.534,2037.92
CUST-00103,Isaiah Avila,nwolf@example.com,2025-07-27,DE,2,At Risk,148,4,408.58,19,-0.444,0.375,2136.4
CUST-00104,Dwayne Gilmore,omartinez@example.net,2024-04-01,JP,4,New Customers,17,2,490.84,20,0.429,0.241,941.66
CUST-00105,Emily Smith,hdavis@example.com,2023-09-25,US,1,Loyal Customers,10,12,427.85,5,0.629,0.428,6096.1
CUST-00106,Brittany Cantu,william46@example.com,2025-03-29,ID,3,Hibernating,152,3,263.17,2,-0.157,0.811,948.87
CUST-00107,Juan Reyes,michellehill@example.com,2024-09-04,US,2,At Risk,116,5,398.89,32,0.139,0.502,1754.84
CUST-00108,Katie Hoover,jessica99@example.net,2025-04-25,AU,0,Champions,16,9,3096.6,11,0.621,0.111,25206.15
CUST-00109,Jill Washington,andrea86@example.com,2024-08-07,US,3,Hibernating,197,1,298.3,50,-0.493,0.701,325.54
CUST-00110,Veronica Allen,xhall@example.com,2023-06-02,UK,3,Hibernating,278,1,237.19,30,-0.421,0.727,239.12
CUST-00111,John Mcintyre,qhughes@example.net,2023-11-18,US,3,Hibernating,229,2,179.22,49,0.279,0.571,311.65
CUST-00112,Andrew Shaw MD,sawyerscott@example.net,2025-03-05,US,3,Hibernating,280,1,94.1,17,-0.128,0.591,86.73
CUST-00113,Charles Pitts,charlesharrington@example.com,2024-09-02,SG,0,Champions,1,14,2527.27,20,0.582,0.137,29113.82
CUST-00114,Jennifer Miller,melissa86@example.com,2025-11-24,US,1,Loyal Customers,28,11,328.12,18,0.516,0.034,4877.92
CUST-00115,Olivia Brennan,williamsonjimmy@example.net,2024-06-15,ID,3,Hibernating,289,1,139.04,43,-0.479,0.774,125.73
CUST-00116,Nicole Hamilton MD,wallaceheather@example.org,2023-06-06,DE,1,Loyal Customers,19,5,307.35,40,0.317,0.137,2035.07
CUST-00117,Anthony Howard,hthomas@example.com,2025-08-22,AU,3,Hibernating,193,2,54.82,46,-0.289,0.668,118.6
CUST-00118,Catherine Thompson,pharvey@example.com,2025-09-17,SG,1,Loyal Customers,44,11,987.97,29,1.0,0.171,14282.01
CUST-00119,Joel King,elizabeth74@example.net,2025-07-23,AU,3,Hibernating,126,1,84.1,38,-0.806,0.735,101.84
CUST-00120,Jeremy Reed,danielle64@example.com,2024-07-08,SG,0,Champions,25,18,4196.4,50,0.535,0.118,100415.6
CUST-00121,James Webb,patrickhoward@example.com,2024-06-27,US,2,At Risk,143,6,1386.7,39,-0.298,0.441,9194.82
CUST-00122,Ronald Foster,knightgina@example.net,2023-06-11,UK,3,Hibernating,143,2,117.43,44,-0.174,0.789,205.08
CUST-00123,Natasha Wall,kimberly39@example.com,2024-03-01,BR,1,Loyal Customers,36,11,718.79,50,0.2,0.093,9369.96
CUST-00124,Lisa Byrd,courtneyberger@example.net,2023-05-27,BR,2,At Risk,100,5,586.42,27,-0.219,0.398,4120.88
CUST-00125,Jeremiah Riley,christopherphillips@example.net,2024-12-31,ID,3,Hibernating,120,3,263.42,5,0.141,0.752,735.98
CUST-00126,Carlos Ryan,alyssa42@example.com,2025-04-13,US,2,At Risk,123,8,746.76,19,-0.415,0.523,7076.02
CUST-00127,Elizabeth Harrell,mcdonaldcharles@example.org,2026-02-09,BR,4,New Customers,15,2,87.07,40,0.831,0.283,236.75
CUST-00128,Veronica Coffey,christopher60@example.com,2025-07-07,UK,3,Hibernating,199,3,23.83,16,-0.68,0.681,106.85
CUST-00129,Jacob Curry,brenda51@example.net,2024-03-24,US,4,New Customers,15,1,334.42,47,0.617,0.143,335.86
CUST-00130,Manuel Hahn,rose31@example.net,2025-03-17,US,3,Hibernating,226,2,294.47,37,-0.189,0.782,530.78
CUST-00131,Elizabeth Ortiz,brandonjohnson@example.com,2023-09-23,US,1,Loyal Customers,48,12,1543.33,6,0.268,0.115,18397.23
CUST-00132,Stephen Taylor,vwatson@example.net,2025-07-13,ID,3,Hibernating,226,2,281.59,2,-1.0,0.638,562.05
CUST-00133,Patrick Moore,fpena@example.net,2024-12-19,UK,1,Loyal Customers,47,11,1757.47,32,0.437,0.02,20136.13
CUST-00134,Diana Vaughn,scottsampson@example.com,2023-08-28,UK,3,Hibernating,259,2,147.5,14,0.108,0.606,438.53
CUST-00135,Mrs. Stephanie Newman,sandersjames@example.org,2025-03-02,UK,1,Loyal Customers,34,7,1740.82,22,0.39,0.13,16100.94
CUST-00136,Daniel Fowler,williamsmatthew@example.org,2025-08-20,AU,3,Hibernating,327,2,128.1,43,0.06,0.605,380.86
CUST-00137,Ronald Spencer,lisahall@example.org,2025-10-07,SG,2,At Risk,64,4,828.09,8,0.191,0.451,4676.83
CUST-00138,Scott Thomas,amberlindsey@example.org,2026-01-16,US,2,At Risk,127,6,170.72,43,-0.345,0.487,1514.94
CUST-00139,Bonnie Howard,briannasmith@example.com,2023-06-16,AU,0,Champions,26,12,2023.53,43,0.75,0.002,20791.06
CUST-00140,Jason Wilson,alvarezkimberly@example.net,2025-10-04,UK,1,Loyal Customers,53,12,884.02,47,0.517,0.089,15076.51
CUST-00141,Jonathan Dougherty,acostaregina@example.net,2025-06-14,US,2,At Risk,129,3,983.57,45,-0.072,0.503,4262.74
CUST-00142,Mason Johnson,bboone@example.net,2023-09-10,DE,4,New Customers,3,2,489.82,47,0.697,0.101,1382.08
CUST-00143,Theodore Jones Jr.,cameronhill@example.net,2025-09-21,US,2,At Risk,148,5,1369.62,5,0.433,0.294,6884.79
CUST-00144,Erika Vang,shawn96@example.org,2023-09-20,SG,2,At Risk,78,4,867.07,13,-0.138,0.497,3187.31
CUST-00145,Marilyn Mack,russellbeasley@example.com,2024-09-03,US,0,Champions,28,14,3288.7,39,0.77,0.0,41446.02
CUST-00146,Jennifer Blair,ronald45@example.org,2025-04-01,US,2,At Risk,92,6,494.69,31,-0.152,0.411,4246.95
CUST-00147,Ronald Davis,garnernathan@example.org,2025-08-07,UK,3,Hibernating,160,1,143.68,39,-0.447,0.788,145.03
CUST-00148,Tyler Hoffman,jenkinsmorgan@example.com,2023-06-14,US,4,New Customers,9,2,427.29,26,0.389,0.145,1194.13
CUST-00149,Lindsay Bell,ericolson@example.org,2024-09-20,BR,1,Loyal Customers,34,9,1234.66,20,0.725,0.145,9060.21
CUST-00150,Holly Farmer,lindsaybruce@example.net,2025-11-04,JP,3,Hibernating,221,2,22.27,49,-0.097,0.77,65.99
CUST-00151,Kristin Lynch,anthony44@example.com,2024-09-22,US,4,New Customers,16,2,394.6,24,0.093,0.155,752.35
CUST-00152,Sergio Knight,vjones@example.net,2023-05-13,JP,1,Loyal Customers,26,6,1330.85,43,0.687,0.169,6608.44
CUST-00153,Joseph Bennett,xpeterson@example.com,2024-08-11,US,3,Hibernating,128,3,122.16,20,-0.305,0.729,377.0
CUST-00154,Latoya Miller,moorekaren@example.org,2026-02-05,JP,2,At Risk,85,4,1211.79,25,0.219,0.403,5678.92
CUST-00155,Jeremy Coleman,nperry@example.net,2023-09-19,BR,4,New Customers,6,2,459.6,20,0.437,0.184,1215.73
CUST-00156,Brian Gregory,trose@example.org,2024-03-03,US,1,Loyal Customers,17,11,1933.21,16,0.446,0.208,29816.06
CUST-00157,Kyle Smith,sierra24@example.com,2024-08-17,DE,3,Hibernating,221,3,122.42,2,-0.094,0.785,361.8
CUST-00158,Jonathan Jordan,omarpadilla@example.net,2025-08-10,JP,1,Loyal Customers,33,8,1252.21,25,0.826,0.122,8773.91
CUST-00159,Renee Jones,grahamsteve@example.org,2024-07-25,SG,1,Loyal Customers,11,12,790.41,43,0.67,0.095,8007.66
CUST-00160,Laura Mckinney,zroberts@example.org,2024-08-12,UK,3,Hibernating,352,3,104.61,10,-0.219,0.71,261.03
CUST-00161,Travis Stevens,christopher13@example.com,2025-09-26,JP,0,Champions,16,9,937.36,10,0.724,0.098,9044.09
CUST-00162,Blake Harrell,jeffrey21@example.net,2025-12-04,DE,2,At Risk,149,7,715.82,11,-0.305,0.617,7114.2
CUST-00163,Jordan Bullock,michael23@example.org,2023-11-09,BR,3,Hibernating,333,2,192.38,19,-0.552,0.623,316.62
CUST-00164,Christopher Hernandez,thompsonkendra@example.com,2025-03-16,JP,2,At Risk,116,6,1433.25,8,0.19,0.513,12784.44
CUST-00165,Olivia Cole,michelle52@example.com,2023-07-11,US,2,At Risk,142,5,231.74,9,0.056,0.5,1696.69
CUST-00166,Mark Hogan,bellcharles@example.com,2025-02-26,AU,3,Hibernating,143,3,79.39,3,-0.303,0.648,198.97
CUST-00167,Jacob Mitchell,gilbertwilliam@example.com,2025-09-13,DE,1,Loyal Customers,18,7,323.5,15,0.519,0.066,2741.11
CUST-00168,Rebecca Huang,kstout@example.net,2024-01-13,DE,3,Hibernating,179,2,236.82,40,-0.056,0.708,379.85
CUST-00169,John Hernandez,hayeslisa@example.com,2023-08-05,DE,4,New Customers,5,1,283.9,9,0.094,0.174,358.49
CUST-00170,Carrie Wright,hritter@example.net,2025-10-29,US,0,Champions,1,13,4054.93,22,0.803,0.005,42753.59
CUST-00171,Jake Campbell,rschroeder@example.net,2023-06-16,DE,1,Loyal Customers,18,10,1146.95,32,0.294,0.139,12774.64
CUST-00172,Maria Jones,grantpaul@example.com,2026-01-09,US,2,At Risk,135,3,760.21,41,-0.039,0.409,1893.73
CUST-00173,Lindsey Hernandez,aguilardonald@example.com,2024-07-20,ID,3,Hibernating,341,3,166.01,3,-0.418,0.739,419.63
CUST-00174,Melissa Myers,collinsnicholas@example.com,2023-10-11,ID,2,At Risk,111,6,1076.23,30,-0.462,0.337,5498.09
CUST-00175,Sandra Rodgers,lucasrodney@example.com,2023-04-24,US,0,Champions,20,10,795.57,42,0.52,0.033,9624.45
CUST-00176,Christopher Lewis,ilee@example.org,2023-07-24,ID,3,Hibernating,217,3,168.56,40,-0.222,0.838,556.82
CUST-00177,Richard Romero,stanleynancy@example.net,2023-10-16,DE,3,Hibernating,149,3,202.26,48,-0.086,0.707,853.04
CUST-00178,Brittany White,jenniferwilliams@example.com,2026-02-09,ID,2,At Risk,89,6,607.56,28,-0.105,0.37,4778.08
CUST-00179,Tracy Bishop,pyoung@example.com,2025-03-24,US,1,Loyal Customers,30,8,873.74,32,0.495,0.097,5920.42
CUST-00180,Cheyenne Gregory,smurray@example.com,2025-05-16,DE,3,Hibernating,143,2,47.04,10,-0.219,0.654,111.9
CUST-00181,Tracy Montoya,moniquewilliams@example.com,2024-10-23,US,3,Hibernating,263,3,112.3,24,-0.17,0.843,475.54
CUST-00182,Ashley Singleton,mitchellkathryn@example.com,2025-02-21,SG,4,New Customers,14,1,485.15,24,0.273,0.232,423.3
CUST-00183,Brittany Kim,lisawilkerson@example.org,2024-12-30,JP,2,At Risk,79,8,800.96,24,0.073,0.418,8917.96
CUST-00184,Jonathan Young,brooksanthony@example.org,2025-12-30,UK,2,At Risk,95,7,455.31,37,-0.044,0.451,4723.97
CUST-00185,Charles Johnson,ihorton@example.net,2025-03-24,US,3,Hibernating,277,3,199.96,44,-0.276,0.658,828.21
CUST-00186,Aaron Miller,jason28@example.net,2025-10-27,UK,1,Loyal Customers,21,8,1464.86,23,0.506,0.16,12254.62
CUST-00187,Ashley Roberts,david36@example.net,2025-11-18,DE,1,Loyal Customers,19,10,325.25,3,0.863,0.197,2810.91
CUST-00188,Brian Stein,chenbailey@example.net,2023-11-05,US,2,At Risk,108,6,762.42,21,0.438,0.389,5970.28
CUST-00189,Aaron Gomez,qlopez@example.org,2025-06-17,US,3,Hibernating,265,3,43.79,12,-0.082,0.735,174.47
CUST-00190,Andrea Fox,myerstheodore@example.net,2024-11-16,UK,0,Champions,3,12,2494.01,40,1.0,0.0,33203.18
CUST-00191,Mrs. Alexis Kramer,john19@example.net,2024-08-24,UK,1,Loyal Customers,58,12,404.87,20,0.29,0.072,6193.31
CUST-00192,Harold Morgan,mariacohen@example.net,2025-04-08,US,3,Hibernating,254,3,106.36,40,-0.831,0.678,267.5
CUST-00193,Robin Brown,mjohnson@example.org,2024-01-30,US,1,Loyal Customers,23,6,1575.49,9,0.31,0.132,7613.5
CUST-00194,Emily Collins,ihays@example.com,2024-04-23,AU,3,Hibernating,164,1,126.46,34,-0.215,0.87,150.63
CUST-00195,Matthew Mitchell,glennmartin@example.org,2024-10-18,DE,3,Hibernating,210,1,131.18,29,-0.062,0.674,106.66
CUST-00196,James Gonzales,lmorgan@example.com,2025-05-07,AU,4,New Customers,11,2,299.5,28,0.075,0.239,600.59
CUST-00197,Robert Adams,acostachristian@example.net,2024-01-01,SG,2,At Risk,101,4,1231.78,46,-0.43,0.597,7113.97
CUST-00198,Erica Miller,kirk96@example.org,2025-02-13,SG,0,Champions,28,9,1594.92,35,0.995,0.012,12273.67
CUST-00199,Andrew Berg,christina64@example.net,2023-06-24,US,4,New Customers,11,1,186.54,34,-0.128,0.308,231.92
CUST-00200,Mark Cox,stephaniethomas@example.net,2026-02-12,BR,2,At Risk,84,5,623.98,43,-0.129,0.549,4275.9
CUST-00201,Amanda Jones,michael90@example.net,2023-11-20,SG,1,Loyal Customers,19,8,555.09,50,0.101,0.072,5912.4
CUST-00202,Tiffany Watson,berryalyssa@example.com,2024-07-27,DE,0,Champions,25,18,2723.53,50,0.701,0.054,59104.14
CUST-00203,Danielle Wilson,victorhughes@example.net,2023-09-25,BR,3,Hibernating,345,3,200.04,22,-0.413,0.77,843.15
CUST-00204,David Griffin,heather73@example.org,2023-10-23,UK,3,Hibernating,158,2,39.12,21,-0.567,0.709,106.21
CUST-00205,Jodi Roach,zosborn@example.net,2024-08-04,ID,3,Hibernating,210,3,40.77,4,-0.27,0.761,102.72
CUST-00206,Michelle Pierce,patricia22@example.com,2025-05-25,JP,3,Hibernating,139,3,261.99,41,-0.122,0.63,955.63
CUST-00207,William Conner,kristyjohnson@example.net,2025-09-01,DE,2,At Risk,134,7,1438.21,4,-0.484,0.552,11223.35
CUST-00208,Robert Arnold,jonesraymond@example.net,2025-04-08,ID,3,Hibernating,286,1,110.03,11,-0.217,0.66,161.79
CUST-00209,Patricia Morrow,martinezlogan@example.org,2025-02-23,AU,2,At Risk,103,8,263.84,4,0.288,0.459,2054.62
